name,batchNumber,expiryDate,chemical_stability,contamination_level,ph_level,sterility_index,temperature_exposure,moisture_content
Lisinopril,BATCH1,2024-10-03,0.1837782572271054,0.27185936032715075,4.115566073805542,0.7585809906092731,0.33060326185780176,0.5259670202394992
Amoxicillin,BATCH2,2026-01-14,0.8356448794097504,0.2085727637030514,5.042065220851429,0.34989909684202203,0.2272399737261826,0.5135136174067783
Diazepam,BATCH3,2025-07-05,0.7734114020135928,0.871085332007966,4.372785396584138,0.25416844467198063,0.627842813518251,0.17426142907619913
Omeprazole,BATCH4,2025-09-30,0.5227630739940244,0.1873984262560009,4.193175420590858,0.21161704237345402,0.38058779215866445,0.9630200170681483
Clopidogrel,BATCH5,2024-08-24,0.31112785668754545,0.3149952360297674,6.135480555103603,0.24449263103218766,0.9860359876824469,0.9154514638862069
Atorvastatin,BATCH6,2026-09-24,0.6937325167654808,0.5484221655929229,3.2271430812901127,0.11097939143697577,0.5005420972315155,0.9528968425438403
Diazepam,BATCH7,2024-02-24,0.08651144256084632,0.6248834120310802,6.944493685018543,0.48473495860502114,0.11936974728418359,0.29802288510419844
Ciprofloxacin,BATCH8,2025-11-14,0.5898164248833283,0.8101019249073294,5.731170319766941,0.04107216152698079,0.5038146551290733,0.4818820421420637
Lisinopril,BATCH9,2024-04-18,0.42850391030249046,0.4132500140883647,7.142186980536696,0.011514646389925054,0.5397321614306979,0.5237369053036387
Losartan,BATCH10,2025-01-07,0.9789666521213701,0.5389022754273538,4.065079916990641,0.6180725931369327,0.014681435858970577,0.49477793024838773
Aspirin,BATCH11,2026-08-30,0.5321822366549996,0.9658074542937632,6.547030204202779,0.08847931864856373,0.2530345031838862,0.028997599584514762
Lisinopril,BATCH12,2024-07-19,0.5746543648277544,0.3043881192769722,5.102919207159104,0.8452096129230864,0.011326141914440813,0.8348178041277581
Clopidogrel,BATCH13,2026-04-28,0.7267445302706782,0.25561326905367154,3.384019885828515,0.1067287785141845,0.5653912747057745,0.7490800557471851
Clopidogrel,BATCH14,2025-05-23,0.5103115570693644,0.713493199428334,6.762381961061658,0.5426689999411398,0.29921247616828694,0.4800502224294042
Atorvastatin,BATCH15,2024-10-01,0.26334018831291384,0.7734249084884671,6.810936176997242,0.6755036423379481,0.1814754871868262,0.2747279133575653
Ciprofloxacin,BATCH16,2024-07-29,0.5604139542210256,0.42063111414850524,4.354584329452424,0.22915550671735319,0.8401977199662788,0.6386271440212602
Amoxicillin,BATCH17,2025-05-18,0.9470554273461844,0.22084912903967174,7.580230094790586,0.8882641562790223,0.03971747445577193,0.1469091762239614
Atorvastatin,BATCH18,2025-12-03,0.4394154387600482,0.7811334292532783,6.819848983833625,0.4813869019154886,0.6947919745425036,0.9973049348776729
Atorvastatin,BATCH19,2024-02-11,0.6956589072496894,0.6737879663262477,4.533786845616946,0.31531909511873213,0.5772691619763696,0.1340866348535285
Aspirin,BATCH20,2024-11-10,0.9791324794414007,0.877465523267437,4.1955447120270435,0.9011286080737317,0.7738367006062191,0.06786986688413897
Metformin,BATCH21,2026-02-26,0.838426197334316,0.8458831996838501,5.200447778569146,0.8583402435184225,0.14094067690268772,0.6162846472708865
Ciprofloxacin,BATCH22,2024-11-24,0.6760824264291575,0.21314323265919102,4.463949073889557,0.7096274016212872,0.8728642399965741,0.46877745664961384
Ibuprofen,BATCH23,2026-11-06,0.7491966639139886,0.8340157882877935,4.085115269572537,0.29048245071539947,0.3284145843977172,0.7218104905722149
Atorvastatin,BATCH24,2024-10-09,0.9396590856162214,0.1834220037077147,4.995503786126196,0.39020633965258744,0.018461723864675594,0.13668757558376157
Simvastatin,BATCH25,2026-07-31,0.9617644991803388,0.8650668647401265,3.128521114131745,0.6897333625746018,0.6601101360838861,0.37010825911986844
Levothyroxine,BATCH26,2024-09-14,0.970519723805896,0.7726177246923516,5.007055353406909,0.185284324386508,0.8607582884944157,0.5060230285107654
Metformin,BATCH27,2025-07-28,0.6443595467923959,0.5741624635395746,4.108313141086509,0.4951124719175576,0.36015452669672665,0.452521374242283
Ibuprofen,BATCH28,2025-07-27,0.4154760673719747,0.6457994590523417,4.321670934879922,0.7377222626714501,0.5322983613396214,0.5872032291015391
Simvastatin,BATCH29,2025-09-03,0.17649547250848496,0.11303847816601062,3.4127664311610317,0.6577129270708777,0.41820977232545825,0.11073266489429581
